strike,tenor,value,valuationDate,isinCode,definition,voltype
0.015,1Y,0.504,2021-06-08,USD,CapFloorVolatility,normal
0.015,2Y,0.616,2021-06-08,USD,CapFloorVolatility,normal
0.015,3Y,0.707,2021-06-08,USD,CapFloorVolatility,normal
0.015,4Y,0.754,2021-06-08,USD,CapFloorVolatility,normal
0.015,5Y,0.76,2021-06-08,USD,CapFloorVolatility,normal
0.015,6Y,0.758,2021-06-08,USD,CapFloorVolatility,normal
0.015,7Y,0.754,2021-06-08,USD,CapFloorVolatility,normal
0.015,8Y,0.75,2021-06-08,USD,CapFloorVolatility,normal
0.015,9Y,0.746,2021-06-08,USD,CapFloorVolatility,normal
0.015,10Y,0.741,2021-06-08,USD,CapFloorVolatility,normal
0.015,15Y,0.715,2021-06-08,USD,CapFloorVolatility,normal
0.015,20Y,0.689,2021-06-08,USD,CapFloorVolatility,normal
0.02,1Y,0.623,2021-06-08,USD,CapFloorVolatility,normal
0.02,2Y,0.746,2021-06-08,USD,CapFloorVolatility,normal
0.02,3Y,0.836,2021-06-08,USD,CapFloorVolatility,normal
0.02,4Y,0.869,2021-06-08,USD,CapFloorVolatility,normal
0.02,5Y,0.857,2021-06-08,USD,CapFloorVolatility,normal
0.02,6Y,0.837,2021-06-08,USD,CapFloorVolatility,normal
0.02,7Y,0.821,2021-06-08,USD,CapFloorVolatility,normal
0.02,8Y,0.808,2021-06-08,USD,CapFloorVolatility,normal
0.02,9Y,0.796,2021-06-08,USD,CapFloorVolatility,normal
0.02,10Y,0.785,2021-06-08,USD,CapFloorVolatility,normal
0.02,15Y,0.742,2021-06-08,USD,CapFloorVolatility,normal
0.02,20Y,0.709,2021-06-08,USD,CapFloorVolatility,normal
0.025,1Y,0.736,2021-06-08,USD,CapFloorVolatility,normal
0.025,2Y,0.868,2021-06-08,USD,CapFloorVolatility,normal
0.025,3Y,0.959,2021-06-08,USD,CapFloorVolatility,normal
0.025,4Y,0.983,2021-06-08,USD,CapFloorVolatility,normal
0.025,5Y,0.955,2021-06-08,USD,CapFloorVolatility,normal
0.025,6Y,0.92,2021-06-08,USD,CapFloorVolatility,normal
0.025,7Y,0.893,2021-06-08,USD,CapFloorVolatility,normal
0.025,8Y,0.871,2021-06-08,USD,CapFloorVolatility,normal
0.025,9Y,0.853,2021-06-08,USD,CapFloorVolatility,normal
0.025,10Y,0.836,2021-06-08,USD,CapFloorVolatility,normal
0.025,15Y,0.776,2021-06-08,USD,CapFloorVolatility,normal
0.025,20Y,0.735,2021-06-08,USD,CapFloorVolatility,normal
0.03,1Y,0.844,2021-06-08,USD,CapFloorVolatility,normal
0.03,2Y,0.984,2021-06-08,USD,CapFloorVolatility,normal
0.03,3Y,1.077,2021-06-08,USD,CapFloorVolatility,normal
0.03,4Y,1.093,2021-06-08,USD,CapFloorVolatility,normal
0.03,5Y,1.052,2021-06-08,USD,CapFloorVolatility,normal
0.03,6Y,1.005,2021-06-08,USD,CapFloorVolatility,normal
0.03,7Y,0.968,2021-06-08,USD,CapFloorVolatility,normal
0.03,8Y,0.939,2021-06-08,USD,CapFloorVolatility,normal
0.03,9Y,0.914,2021-06-08,USD,CapFloorVolatility,normal
0.03,10Y,0.892,2021-06-08,USD,CapFloorVolatility,normal
0.03,15Y,0.816,2021-06-08,USD,CapFloorVolatility,normal
0.03,20Y,0.767,2021-06-08,USD,CapFloorVolatility,normal
0.035,1Y,0.949,2021-06-08,USD,CapFloorVolatility,normal
0.035,2Y,1.097,2021-06-08,USD,CapFloorVolatility,normal
0.035,3Y,1.191,2021-06-08,USD,CapFloorVolatility,normal
0.035,4Y,1.201,2021-06-08,USD,CapFloorVolatility,normal
0.035,5Y,1.148,2021-06-08,USD,CapFloorVolatility,normal
0.035,6Y,1.089,2021-06-08,USD,CapFloorVolatility,normal
0.035,7Y,1.044,2021-06-08,USD,CapFloorVolatility,normal
0.035,8Y,1.009,2021-06-08,USD,CapFloorVolatility,normal
0.035,9Y,0.978,2021-06-08,USD,CapFloorVolatility,normal
0.035,10Y,0.951,2021-06-08,USD,CapFloorVolatility,normal
0.035,15Y,0.859,2021-06-08,USD,CapFloorVolatility,normal
0.035,20Y,0.802,2021-06-08,USD,CapFloorVolatility,normal
0.04,1Y,1.051,2021-06-08,USD,CapFloorVolatility,normal
0.04,2Y,1.206,2021-06-08,USD,CapFloorVolatility,normal
0.04,3Y,1.301,2021-06-08,USD,CapFloorVolatility,normal
0.04,4Y,1.305,2021-06-08,USD,CapFloorVolatility,normal
0.04,5Y,1.242,2021-06-08,USD,CapFloorVolatility,normal
0.04,6Y,1.172,2021-06-08,USD,CapFloorVolatility,normal
0.04,7Y,1.12,2021-06-08,USD,CapFloorVolatility,normal
0.04,8Y,1.079,2021-06-08,USD,CapFloorVolatility,normal
0.04,9Y,1.044,2021-06-08,USD,CapFloorVolatility,normal
0.04,10Y,1.012,2021-06-08,USD,CapFloorVolatility,normal
0.04,15Y,0.905,2021-06-08,USD,CapFloorVolatility,normal
0.04,20Y,0.84,2021-06-08,USD,CapFloorVolatility,normal
0.045,1Y,1.151,2021-06-08,USD,CapFloorVolatility,normal
0.045,2Y,1.311,2021-06-08,USD,CapFloorVolatility,normal
0.045,3Y,1.408,2021-06-08,USD,CapFloorVolatility,normal
0.045,4Y,1.407,2021-06-08,USD,CapFloorVolatility,normal
0.045,5Y,1.334,2021-06-08,USD,CapFloorVolatility,normal
0.045,6Y,1.255,2021-06-08,USD,CapFloorVolatility,normal
0.045,7Y,1.196,2021-06-08,USD,CapFloorVolatility,normal
0.045,8Y,1.15,2021-06-08,USD,CapFloorVolatility,normal
0.045,9Y,1.11,2021-06-08,USD,CapFloorVolatility,normal
0.045,10Y,1.073,2021-06-08,USD,CapFloorVolatility,normal
0.045,15Y,0.952,2021-06-08,USD,CapFloorVolatility,normal
0.045,20Y,0.879,2021-06-08,USD,CapFloorVolatility,normal
0.05,1Y,1.248,2021-06-08,USD,CapFloorVolatility,normal
0.05,2Y,1.415,2021-06-08,USD,CapFloorVolatility,normal
0.05,3Y,1.512,2021-06-08,USD,CapFloorVolatility,normal
0.05,4Y,1.506,2021-06-08,USD,CapFloorVolatility,normal
0.05,5Y,1.424,2021-06-08,USD,CapFloorVolatility,normal
0.05,6Y,1.336,2021-06-08,USD,CapFloorVolatility,normal
0.05,7Y,1.271,2021-06-08,USD,CapFloorVolatility,normal
0.05,8Y,1.22,2021-06-08,USD,CapFloorVolatility,normal
0.05,9Y,1.175,2021-06-08,USD,CapFloorVolatility,normal
0.05,10Y,1.135,2021-06-08,USD,CapFloorVolatility,normal
0.05,15Y,1,2021-06-08,USD,CapFloorVolatility,normal
0.05,20Y,0.92,2021-06-08,USD,CapFloorVolatility,normal
ATM,1Y,0.114,2021-06-08,USD,CapFloorVolatility,normal
ATM,2Y,0.226,2021-06-08,USD,CapFloorVolatility,normal
ATM,3Y,0.4,2021-06-08,USD,CapFloorVolatility,normal
ATM,4Y,0.552,2021-06-08,USD,CapFloorVolatility,normal
ATM,5Y,0.638,2021-06-08,USD,CapFloorVolatility,normal
ATM,6Y,0.688,2021-06-08,USD,CapFloorVolatility,normal
ATM,7Y,0.717,2021-06-08,USD,CapFloorVolatility,normal
ATM,8Y,0.732,2021-06-08,USD,CapFloorVolatility,normal
ATM,9Y,0.739,2021-06-08,USD,CapFloorVolatility,normal
ATM,10Y,0.742,2021-06-08,USD,CapFloorVolatility,normal
ATM,15Y,0.728,2021-06-08,USD,CapFloorVolatility,normal
ATM,20Y,0.702,2021-06-08,USD,CapFloorVolatility,normal