isincode,valuationdate,tenor,delta,callput,value,bidask
USDTRY,2021-03-17,1W,25Delta,Put,0.22803,ask
USDTRY,2021-03-17,2W,25Delta,Put,0.20558,ask
USDTRY,2021-03-17,3W,25Delta,Put,0.19256,ask
USDTRY,2021-03-17,1M,25Delta,Put,0.18406,ask
USDTRY,2021-03-17,2M,25Delta,Put,0.17783,ask
USDTRY,2021-03-17,3M,25Delta,Put,0.1796,ask
USDTRY,2021-03-17,4M,25Delta,Put,0.18152,ask
USDTRY,2021-03-17,5M,25Delta,Put,0.18172,ask
USDTRY,2021-03-17,6M,25Delta,Put,0.18281,ask
USDTRY,2021-03-17,9M,25Delta,Put,0.18454,ask
USDTRY,2021-03-17,1Y,25Delta,Put,0.18184,ask
USDTRY,2021-03-17,18M,25Delta,Put,0.18558,ask
USDTRY,2021-03-17,2Y,25Delta,Put,0.18687,ask
USDTRY,2021-03-17,3Y,25Delta,Put,0.19349,ask
USDTRY,2021-03-17,4Y,25Delta,Put,0.19781,ask
USDTRY,2021-03-17,5Y,25Delta,Put,0.20093,ask
USDTRY,2021-03-17,6Y,25Delta,Put,0.20799,ask
USDTRY,2021-03-17,7Y,25Delta,Put,0.21121,ask
USDTRY,2021-03-17,10Y,25Delta,Put,0.21605,ask
USDTRY,2021-03-17,1W,,ATM,0.18065,bid
USDTRY,2021-03-17,2W,,ATM,0.1823,bid
USDTRY,2021-03-17,3W,,ATM,0.1832,bid
USDTRY,2021-03-17,1M,,ATM,0.18695,bid
USDTRY,2021-03-17,2M,,ATM,0.18195,bid
USDTRY,2021-03-17,3M,,ATM,0.18495,bid
USDTRY,2021-03-17,4M,,ATM,0.1851,bid
USDTRY,2021-03-17,5M,,ATM,0.18377,bid
USDTRY,2021-03-17,6M,,ATM,0.1838,bid
USDTRY,2021-03-17,9M,,ATM,0.1853,bid
USDTRY,2021-03-17,1Y,,ATM,0.1883,bid
USDTRY,2021-03-17,18M,,ATM,0.19195,bid
USDTRY,2021-03-17,2Y,,ATM,0.19335,bid
USDTRY,2021-03-17,3Y,,ATM,0.1957,bid
USDTRY,2021-03-17,4Y,,ATM,0.20005,bid
USDTRY,2021-03-17,5Y,,ATM,0.2031,bid
USDTRY,2021-03-17,6Y,,ATM,0.21134,bid
USDTRY,2021-03-17,7Y,,ATM,0.2182,bid
USDTRY,2021-03-17,10Y,,ATM,0.2231,bid
USDTRY,2021-03-17,1W,,ATM,0.23055,ask
USDTRY,2021-03-17,2W,,ATM,0.2128,ask
USDTRY,2021-03-17,3W,,ATM,0.20245,ask
USDTRY,2021-03-17,1M,,ATM,0.19695,ask
USDTRY,2021-03-17,2M,,ATM,0.19195,ask
USDTRY,2021-03-17,3M,,ATM,0.19495,ask
USDTRY,2021-03-17,4M,,ATM,0.1969,ask
USDTRY,2021-03-17,5M,,ATM,0.19728,ask
USDTRY,2021-03-17,6M,,ATM,0.1988,ask
USDTRY,2021-03-17,9M,,ATM,0.2003,ask
USDTRY,2021-03-17,1Y,,ATM,0.1988,ask
USDTRY,2021-03-17,18M,,ATM,0.2021,ask
USDTRY,2021-03-17,2Y,,ATM,0.20335,ask
USDTRY,2021-03-17,3Y,,ATM,0.2096,ask
USDTRY,2021-03-17,4Y,,ATM,0.2143,ask
USDTRY,2021-03-17,5Y,,ATM,0.2178,ask
USDTRY,2021-03-17,6Y,,ATM,0.22111,ask
USDTRY,2021-03-17,7Y,,ATM,0.2235,ask
USDTRY,2021-03-17,10Y,,ATM,0.2281,ask
USDTRY,2021-03-17,1W,25Delta,Call,0.25933,ask
USDTRY,2021-03-17,2W,25Delta,Call,0.24336,ask
USDTRY,2021-03-17,3W,25Delta,Call,0.23377,ask
USDTRY,2021-03-17,1M,25Delta,Call,0.23091,ask
USDTRY,2021-03-17,2M,25Delta,Call,0.22946,ask
USDTRY,2021-03-17,3M,25Delta,Call,0.23586,ask
USDTRY,2021-03-17,4M,25Delta,Call,0.23905,ask
USDTRY,2021-03-17,5M,25Delta,Call,0.24129,ask
USDTRY,2021-03-17,6M,25Delta,Call,0.24447,ask
USDTRY,2021-03-17,9M,25Delta,Call,0.24845,ask
USDTRY,2021-03-17,1Y,25Delta,Call,0.24918,ask
USDTRY,2021-03-17,18M,25Delta,Call,0.25398,ask
USDTRY,2021-03-17,2Y,25Delta,Call,0.25764,ask
USDTRY,2021-03-17,3Y,25Delta,Call,0.26523,ask
USDTRY,2021-03-17,4Y,25Delta,Call,0.27138,ask
USDTRY,2021-03-17,5Y,25Delta,Call,0.27782,ask
USDTRY,2021-03-17,6Y,25Delta,Call,0.28435,ask
USDTRY,2021-03-17,7Y,25Delta,Call,0.28761,ask
USDTRY,2021-03-17,10Y,25Delta,Call,0.29241,ask
USDTRY,2021-03-17,1W,25Delta,Call,0.1971,bid
USDTRY,2021-03-17,2W,25Delta,Call,0.20557,bid
USDTRY,2021-03-17,3W,25Delta,Call,0.21001,bid
USDTRY,2021-03-17,1M,25Delta,Call,0.21862,bid
USDTRY,2021-03-17,2M,25Delta,Call,0.21729,bid
USDTRY,2021-03-17,3M,25Delta,Call,0.22379,bid
USDTRY,2021-03-17,4M,25Delta,Call,0.22492,bid
USDTRY,2021-03-17,5M,25Delta,Call,0.22522,bid
USDTRY,2021-03-17,6M,25Delta,Call,0.22673,bid
USDTRY,2021-03-17,9M,25Delta,Call,0.231,bid
USDTRY,2021-03-17,1Y,25Delta,Call,0.23715,bid
USDTRY,2021-03-17,18M,25Delta,Call,0.24267,bid
USDTRY,2021-03-17,2Y,25Delta,Call,0.24676,bid
USDTRY,2021-03-17,3Y,25Delta,Call,0.25077,bid
USDTRY,2021-03-17,4Y,25Delta,Call,0.25719,bid
USDTRY,2021-03-17,5Y,25Delta,Call,0.26378,bid
USDTRY,2021-03-17,6Y,25Delta,Call,0.27545,bid
USDTRY,2021-03-17,7Y,25Delta,Call,0.28299,bid
USDTRY,2021-03-17,10Y,25Delta,Call,0.28849,bid
USDTRY,2021-03-17,1W,25Delta,Put,0.16454,bid
USDTRY,2021-03-17,2W,25Delta,Put,0.16679,bid
USDTRY,2021-03-17,3W,25Delta,Put,0.16806,bid
USDTRY,2021-03-17,1M,25Delta,Put,0.17132,bid
USDTRY,2021-03-17,2M,25Delta,Put,0.16502,bid
USDTRY,2021-03-17,3M,25Delta,Put,0.16675,bid
USDTRY,2021-03-17,4M,25Delta,Put,0.16631,bid
USDTRY,2021-03-17,5M,25Delta,Put,0.16426,bid
USDTRY,2021-03-17,6M,25Delta,Put,0.16339,bid
USDTRY,2021-03-17,9M,25Delta,Put,0.16501,bid
USDTRY,2021-03-17,1Y,25Delta,Put,0.16813,bid
USDTRY,2021-03-17,18M,25Delta,Put,0.17227,bid
USDTRY,2021-03-17,2Y,25Delta,Put,0.17373,bid
USDTRY,2021-03-17,3Y,25Delta,Put,0.17521,bid
USDTRY,2021-03-17,4Y,25Delta,Put,0.17912,bid
USDTRY,2021-03-17,5Y,25Delta,Put,0.18177,bid
USDTRY,2021-03-17,6Y,25Delta,Put,0.19532,bid
USDTRY,2021-03-17,7Y,25Delta,Put,0.20439,bid
USDTRY,2021-03-17,10Y,25Delta,Put,0.20985,bid
USDTRY,2021-03-17,10Y,,ATM,0.2256,mid
USDTRY,2021-03-17,18M,,ATM,0.197025,mid
USDTRY,2021-03-17,1M,,ATM,0.19195,mid
USDTRY,2021-03-17,1W,,ATM,0.2056,mid
USDTRY,2021-03-17,1Y,,ATM,0.19355,mid
USDTRY,2021-03-17,2M,,ATM,0.18695,mid
USDTRY,2021-03-17,2W,,ATM,0.19755,mid
USDTRY,2021-03-17,2Y,,ATM,0.19835,mid
USDTRY,2021-03-17,3M,,ATM,0.18995,mid
USDTRY,2021-03-17,3W,,ATM,0.192825,mid
USDTRY,2021-03-17,3Y,,ATM,0.20265,mid
USDTRY,2021-03-17,4M,,ATM,0.191,mid
USDTRY,2021-03-17,4Y,,ATM,0.207175,mid
USDTRY,2021-03-17,5M,,ATM,0.190525,mid
USDTRY,2021-03-17,5Y,,ATM,0.21045,mid
USDTRY,2021-03-17,6M,,ATM,0.1913,mid
USDTRY,2021-03-17,6Y,,ATM,0.216225,mid
USDTRY,2021-03-17,7Y,,ATM,0.22085,mid
USDTRY,2021-03-17,9M,,ATM,0.1928,mid
USDTRY,2021-03-17,10Y,25Delta,Call,0.29045,mid
USDTRY,2021-03-17,18M,25Delta,Call,0.248325,mid
USDTRY,2021-03-17,1M,25Delta,Call,0.224765,mid
USDTRY,2021-03-17,1W,25Delta,Call,0.228215,mid
USDTRY,2021-03-17,1Y,25Delta,Call,0.243165,mid
USDTRY,2021-03-17,2M,25Delta,Call,0.223375,mid
USDTRY,2021-03-17,2W,25Delta,Call,0.224465,mid
USDTRY,2021-03-17,2Y,25Delta,Call,0.2522,mid
USDTRY,2021-03-17,3M,25Delta,Call,0.229825,mid
USDTRY,2021-03-17,3W,25Delta,Call,0.22189,mid
USDTRY,2021-03-17,3Y,25Delta,Call,0.258,mid
USDTRY,2021-03-17,4M,25Delta,Call,0.231985,mid
USDTRY,2021-03-17,4Y,25Delta,Call,0.264285,mid
USDTRY,2021-03-17,5M,25Delta,Call,0.233255,mid
USDTRY,2021-03-17,5Y,25Delta,Call,0.2708,mid
USDTRY,2021-03-17,6M,25Delta,Call,0.2356,mid
USDTRY,2021-03-17,6Y,25Delta,Call,0.2799,mid
USDTRY,2021-03-17,7Y,25Delta,Call,0.2853,mid
USDTRY,2021-03-17,9M,25Delta,Call,0.239725,mid
USDTRY,2021-03-17,10Y,25Delta,Put,0.21295,mid
USDTRY,2021-03-17,18M,25Delta,Put,0.178925,mid
USDTRY,2021-03-17,1M,25Delta,Put,0.17769,mid
USDTRY,2021-03-17,1W,25Delta,Put,0.196285,mid
USDTRY,2021-03-17,1Y,25Delta,Put,0.174985,mid
USDTRY,2021-03-17,2M,25Delta,Put,0.171425,mid
USDTRY,2021-03-17,2W,25Delta,Put,0.186185,mid
USDTRY,2021-03-17,2Y,25Delta,Put,0.1803,mid
USDTRY,2021-03-17,3M,25Delta,Put,0.173175,mid
USDTRY,2021-03-17,3W,25Delta,Put,0.18031,mid
USDTRY,2021-03-17,3Y,25Delta,Put,0.18435,mid
USDTRY,2021-03-17,4M,25Delta,Put,0.173915,mid
USDTRY,2021-03-17,4Y,25Delta,Put,0.188465,mid
USDTRY,2021-03-17,5M,25Delta,Put,0.17299,mid
USDTRY,2021-03-17,5Y,25Delta,Put,0.19135,mid
USDTRY,2021-03-17,6M,25Delta,Put,0.1731,mid
USDTRY,2021-03-17,6Y,25Delta,Put,0.201655,mid
USDTRY,2021-03-17,7Y,25Delta,Put,0.2078,mid
USDTRY,2021-03-17,9M,25Delta,Put,0.174775,mid